,Дата,Время,Сайт,Отзыв
62,01 августа 2014,01:55,professorrating.org,"В целом ВУЗ хороший, конечно, но надо оценивать каждый факультет по отдельности.Самое гиблое место - это социологический факультет, заявляю с полной ответственностью. Вернее, это даже не факультет, а искусственно созданная контора, которая существует относительно недавно и которой все это время руководит один декан. В среде МГУ-шников уже подавно считается, что все самые тупицы исходят в основном из социологического факультета. Это и не удивительно: все нормальные оттуда сбегают. Образование на нем никакое, особенно что касается вечернего отделения (туда люди идут просто ради корочки - хотя и она тоже нигде не ценится). В общем, у человека будет больше шансов достигнуть успеха, если он окончит какой-нибудь средненький вуз. То, что соц.фак принадлежит МГУ - это только юридически, а во всем остальном это типичная шаражка. Не верите? - почитайте в той же Википедии.  Никому не советую повторять мой горький опыт. Целый год потерял, учась на вечернем отделении (вернее, тупо посещая вечером лекции). Перепоступаю сейчас на эконом фак с потерей года, экзамены пришлось сдавать заново. Так что прежде чем выбирать социологию - десять раз подумайте. Потом - не жалуйтесь, что вас не предупреждали. 







"
63,22 августа 2015,15:07,professorrating.org,"Ты ,""умный"", которому мама всю жизнь ""слюньки"", наверняка, подтирает,  называешь тупицами людей, которые работают с 9 до 18 и приходят каждый день после работы на учебу, включая субботы, чтобы на жизнь заработать и образование в лучшем вузе России получить. Посмотрим, что ты еще со своим Экономическим факультетом добьешься, еще может с первого курса вылетишь! 







"
64,12 августа 2014,01:14,professorrating.org,"Для меня МГУ действительно стал alma mater и практически вторым домом. Я просто знаю, что это то место, где люди в большинстве своем близки мне по духу. Они могут быть плохие, хорошие, странные и не очень, но я могу на 80% быть уверена, что найду у них понимание, потому что они обладают тем же набором ценностей. Здесь, конечно, стоит оговориться, что я имею в виду свой факультет и свое отделение.







"
65,23 сентября 2014,16:27,professorrating.org,"Рассадник мракобесия...







"
66,07 октября 2014,18:39,professorrating.org,"Уровень образования варьирует от факультета к факультету. В целом, ""старые"" факультеты (и гуманитарные и естественные) стараются держать более-менее высокую планку, а всё, что начинается со слов ""Высшая школа ..."" - УГ, профанация и растрата бюджета. Хотя, по слухам, ""высшая школа перевода"" является неплохим факультетом.







"
67,23 октября 2014,18:02,professorrating.org,"Вершина знаний, мысли цвет, -таким был университет.А нынче, волею судеб,он превращается в вертеп. ..... То гордый дух былых временраспят, осмеян, искажен.Здесь бредни мудростью слывут,а мудрость глупостью зовут!







"
68,01 февраля 2016,11:52,professorrating.org,"Выпускник 1973, физфак, сто пудов подписываюсь под этими стихами. Знал МГУ в разные годы и разные факультеты.







"
69,16 августа 2018,14:00,professorrating.org,"Мне кажется, что у сотрудников, которые хамят всем подряд, тяжелая жизнь и что-то, видимо, не так сложилось; их пожалеть надо, а хамить в ответ не стоит, это лишь сильнее их разозлит.







"
70,26 августа 2018,19:28,professorrating.org,"что танцору мешает, тебе известно? Выше головы не прыгнешь, тоже факт. А если не можешь, нечего наговаривать.







"
71,16 декабря 2014,08:20,professorrating.org,"Уровень подготовки абитуриентов с каждым годом становится всё ниже... Деградирует студент: ЕГЭ и бакалавриат дают о себе знать.







"
72,19 октября 2018,14:56,professorrating.org,"У нас одна причина - недобор, чтоб не закрыли. Берём всех подряд, результат плачевный.







"
73,23 января 2015,06:57,professorrating.org,"Могу сказать, что знаком с некоторыми Профессорами МГУ имени М.В.Ломоносова, которые как были недовольными ими, когда они становились Профессорами, так же не довольны и мной, так как Я СМОГ ЗАКОНЧИТЬ МГУ. И Вы знаете эта НЕНАВИСТЬ И ЗАВИСТЬ, ТРЕТЬИМ ЗАКОНОМ НЬЮТОНА НЕ ЛЕЧИТСЯ. Скорее для их отношения друг к другу и к окружающим их людям подходит ДЕВИЗ ХИППИ: - ""ДОБЕЙ ЛЕЖАЧЕГО"".







"
74,01 декабря 2015,20:38,professorrating.org,"А вы давно в Москве ? что то от вас ""серостью"" пахнет...







"
75,22 августа 2016,11:24,professorrating.org,"Почти все комментарии меня расстраивают тем, что имеют множество орфографических, пунктуационных ошибок. Вы же выпускники или студенты САМОГО МГУ!!! Как вы можете писать с ошибками?! Для меня МГУ - это эталон высокого профессионализма во всём!







"
76,20 сентября 2019,18:40,professorrating.org,"Сообщение находится на модерации. В течение дня оно будет проверено и опубликовано, если соответствует правилам сайта.



0



"
77,12 апреля 2015,16:26,professorrating.org,"Я, врач-психиатр. 95% выпускников МГУ психически больны. После учёбы в МГУ выпускников нужно направлять на принудительную экспертизу к независимым психиатрам в КАЩЕНКО. А у САДОВНИЧЕГО давно патология ПРЕСЕНИЛЬНОГО ПСИХОЗА. МГУ - это ГОСУДАРСТВЕННАЯ структура по выпуску дураков в общество. Дураки изготавливают ДУРАКОВ. Фактов и доказательств очень много!







"
78,16 апреля 2015,09:46,professorrating.org,"Вы знаете, доля правды в Ваших словах есть. Но проблема глубже и она не в выпускниках МГУ. Проблема в Законе о Психиатрии и Конституции РФ. Дело в том, что закон о Психиатрии принят раньше Конституции РФ. И поэтому получается, что врачи психиаторы сплошь и рядом нарушают Конституцию РФ, основной закон страны, леча пациентов старыми дореволюционными методами, не соответствующими Конституции РФ. Кроме того, в Конституции РФ есть норма, такая как СВОБОДА МЫСЛИ. А за вопрос откуда берётся МЫСЛЬ, обещана Нобелевская премия. Гарантом конституции является Президент РФ, то есть формально, так как право формально, ответственность за МЫСЛЬ каждого гражданина РФ несёт Президент РФ. Но если опустится на землю, и посмотреть реально на эту проблематику, то становится ясным, что отвечать за мысли каждого гражданина Президент РФ не может. Поэтому я бы не стал говорить, что в МГУ Дураки изготовляют Дураков.







"
79,24 апреля 2017,22:15,professorrating.org,"В упомянутом Кащенко приходилось проходить цикл по психиатрии. Попадались и МГУшники, что, конечно же, коробило. Тем не менее, с каких это пор принадлежность к данному вузу является отягощающим анамнез обстоятельством? Не слишком ли щедро вы раздаёте диагнозы, КОЛЛЛЕГА? Медик ли вы или всё-таки профессиональный тролль?







"
