,Дата,Время,Отзыв
36,08 февраля 2013,21:35,"а мне на психфаке в целом нравиться, я не раздолбай, но и не отличник, без 3 просто учусь. Я не считаю, что тут очень трудно или нудно и скучно, вовсе нет...вопрос в том какое представление у конкретного человека об университете, а реальность с идеей крайне редко совпадает.







"
37,28 мая 2014,15:23,"А что так с ошибками пишете? Все-таки, в МГУ учитесь))







"
38,11 февраля 2013,23:46,"Не буду особо говорить о других факультетах, ибо все сильно различается. Очевидно существование совершенно никчемным факультетов, но есть и весьма сильные. В целом, образование на факультетах естественных/точных наук на порядок выше, чем у ""гуманитариев"". Такая ситуация отражает ситуацию с образованием в стране: гуманитарное образование, выросшее из совка и прочего марксизма-ленинизма, сильно западает, тогда как существуют сильные, как тут сказали, ""мужские"" факультеты мирового уровня, но их мало, и они страдают от большого количества проблем,в результате чего есть впечатление страшного ун







"
39,11 февраля 2013,23:53,"ыния.На факультете психологии ситуация неплохая: много талантливых ученых и преподавателей, есть огонь в глазах и желание чего-то большего, чем стружек от распила. Однако много совка (мастурбации на Советских Психологов), унылых лекторов и дряхлеющих ученых, которым уже давно пора на пенсию (мало что в науке может сделать человек за 60, а если таких подавляющих большинство, то они еще и развитию препятствуют), устаревших и неактуальных знаний. ""Современная психология"" - это с 60-ых, что было с 80-ых не скажут почти ни на одном курсе. Всё это очень печально и убивает желание учиться.







"
40,12 февраля 2013,00:05,"Однако, пообщавшись со студентами-психологами других вузов, понял, что психфак МГУ - это-таки лучшее психологическое образование в России. Хотя слишком большое внимание уделяется отечественной школе, она действительно неплоха и частично актуальна до сих пор. Факультет дает хорошее понимание истории своего предмета, что не столь актуально естественникам, но важно ученым-психологам, которым приходится мириться с отсутствием единой парадигмы а-ля ""теория эволюции Дарвина"". Психфак наполнен людьми, которым не наплевать на науку, что уже неплохо. Как не крути, а мгушные психологи - лучшие в стран







"
41,02 апреля 2013,13:04,"А  у нас халявно было и весело - почва рулит!)))







"
42,01 октября 2013,23:37,"Странно, что несомненный профессионализм и высокие моральные критерии, о которых во всеуслышание заявляет Садовничий В.А. допускают вероятность, когда  директором (деканом) ИСАА является тот, кто наваял ""липовую"" докторскую диссертацию. Об это достижении Абылгазиева И.И. (нынешний директор ИСАА) сообщила группа экспертов диссернета.Прежнй директор - Мейер М.С. - высококлавссный специалист и блестящий ученый, а его ""продолжатель"" списал свою диссертацию у других и выдал за свое творчество.Лозунг ""кадры решают все"" - это про МГУ!Одно радует, что в МГУ работает немалое количество замечательных преподавателей и выдающихся ученых!!!Абылгазиев И.И. - аномалия на теле МГУ.







"
43,06 декабря 2013,21:40," МГУ - крупнейший вуз с крупнейшим бюрократическим аппаратом (со всеми вытекающими последствиями...). Повальной коррумпированности преподавателей не обнаружено.   Оценка на экзамене зависит от того, кому сдаёшь и может варьировать от двойки до пятёрки для одного и того же студента. В связи с этим, об объективности оценки речь не идёт.   Отличительная черта большинства студентов и преподавателей - максимализм и оптимизм (это сильно контрастирует с пессиместичным большинством нашего общества). Большинство студентов и преподавателей - умные и талантливые, но, так же, встречаются глупые и заурядные. В инфантилизме и безрассудстве многие преподаватели не уступают студентам. 







"
44,09 января 2014,20:30,"Да, кормят отменно)) был на курсах в МГУ - радовался столовой :D в нашем универе такого качества питания и количества столовых и близко нет







"
45,04 февраля 2014,"17:20', '18:30","МГУ слишком большая организация, чтобы о ней судить однозначно. Университет достаточно сильно расколот на дружественные, враждебные и даже подчас пренебрежительно относящиеся друг друга факультеты. 
В целом естественные  факультеты весьма сильны - учатся и работают там простые (бедные, честные и умные) люди из разных уголков России и СНГ. 
Ряд факультетов университета исповедует специфическую систему образования (может быть она является исконной для всех классических университетов). В частности на химическом факультете процесс получения знаний больше основан на самообразовании, при условии, что тебе предоставляется учебное пространство - большое количество учебных часов - лекции, семинары, оснащенный практикум, библиотека, научный руководитель. Однако со стороны преподавателей больше слышно не столько изложение учебного материала, сколько вопросы к студенту с целью подвигнуть его на самостоятельное изучение курса. Причем к лекциям это тоже относится, ибо они представляют собой очень объемные презентации ставящие задачу прежде всего максимально расширить кругозор - кстати, ходить на них в мою бытность было не обязательно и почти никто и не ходил. Если студент хочет узнать что-то у преподавателя, то на лекциях это сделать не трудно (особенно, когда на неорганике работал академик Ю.Д. Третьяков), а вот на семинаре, либо вопрос должен быть хорошо сформулирован, либо (что чаще всего) тебе ответят ""почитайте"". Однако научно-образовательные дискуссии, безусловно, приветствуются. Хорошие преподаватели (исповедующие именно такой подход), безусловно, стремятся видеть в студенте равного себе и это подчас очень обнадеживает. 
Не случайно начал с того, что университет неоднороден, ибо на других факультетах дела обстоят несколько иначе. В частности на физфаке и биофаке, насколько мне известно, научная работа начинается вовсе не с первого курса, несколько иначе читаются лекции, и в этом смысле большая ответственность за образование студента лежит на преподавателе. Есть даже факультеты, на которых весьма посредственно относятся к научной работе вообще, есть, где больше закрывают глаза на учебу. Везде по-разному. В целом хочу всех предупредить - университет любит самостоятельных, творческих. Если вы привыкли повторять и зубрить за преподавателем, то для химфака, например, это точно не подойдет. С другой стороны, если вы и так можете учиться самостоятельно, то химфак (имеется ввиду химическая подготовка) может дать вам лишь обстановку для творчества и науки и больше ничего. 
Хочу обратиться ко всем тем выпускникам школ, кто собирается в МГУ и будет ездить на учебу из дома, а не общежития. С моей точки зрения и точки зрения моих товарищей, первым критерием должно быть удобство добираться до университета. Имейте ввиду (сужу по химфаку), что на первом курсе программа с 9 до 18:30 (до 23 пар в неделю) + время научной работы + домашняя + время в дороге + сон, и может выйти более 24 часов)). Если дорога более 1 часа, то стоит серьезно призадуматься. Помните о том, что причины неуспеваемости могут быть связаны с общей усталостью, и вы даже с золотой головой не сможете воспринять всего того, чем славится МГУ. Между прочим, это относится не только к МГУ, но и к ряду других вузов. Возможно, стоит сломать стереотип о том, что МГУ вне конкуренции: это не так. Практически по всем направлениям подготовки у университета среди московских вузов имеются достойные соперники на научно-педагогическим поприще, которые также дают счастливую путевку в жизнь талантливым ребятам.







"
46,10 февраля 2014,10:40,"Сложно сдать вступительный экзамен в ВШГАаудита? 







"
47,10 февраля 2014,10:41,"И вообще сильно тяжело учиться?







"
